,Survived,Sex,Pclass_1,Pclass_2,Pclass_3,Embarked_0.0,Embarked_1.0,Embarked_2.0,Cabin_Letter_0,Cabin_Letter_1,Cabin_Letter_2,Cabin_Letter_3,Cabin_Letter_4,Cabin_Letter_5,Cabin_Letter_6,Cabin_Letter_7,Age,SibSp,Parch,Fare
0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.5416129102021049,0.481287771858981,-0.444999501816175,-0.5031762030204289
1,1.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6614135270424127,0.481287771858981,-0.444999501816175,0.7348086421751847
2,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.24085630089097548,-0.47908676070718687,-0.444999501816175,-0.4901261217266795
3,1.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.43584607005906567,0.481287771858981,-0.444999501816175,0.38326265226609996
4,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.43584607005906567,-0.47908676070718687,-0.444999501816175,-0.48770944000561484
5,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.47981559083192915
6,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1.8644399642869303,-0.47908676070718687,-0.444999501816175,0.3593375032275594
7,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-2.0453959567577518,2.4020368369913165,0.7107630931786129,-0.23589120467067404
8,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.16566714856319312,-0.47908676070718687,1.8665256881734007,-0.4280986020011448
9,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-1.1431261288243637,0.481287771858981,-0.444999501816175,-0.061971321259844045
10,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.895017652102187,0.481287771858981,0.7107630931786129,-0.32047506490793826
11,1.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2.1651965735980596,-0.47908676070718687,-0.444999501816175,-0.13004054528804052
12,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.6919912148576696,-0.47908676070718687,-0.444999501816175,-0.48770944000561484
13,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.7366026793701951,0.481287771858981,5.333813473157765,-0.03868997623179524
14,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-1.1431261288243637,-0.47908676070718687,-0.444999501816175,-0.4914949302534906
15,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.9396291166147126,-0.47908676070718687,-0.444999501816175,-0.3340084825459005
16,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-2.0453959567577518,3.3624113695574844,0.7107630931786129,-0.0802569018341079
17,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.059900308420153925,-0.47908676070718687,-0.444999501816175,-0.39200884385145307
18,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.13508946074793626,0.481287771858981,-0.444999501816175,-0.29534157500886543
19,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.5036595393646418
20,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.43584607005906567,-0.47908676070718687,-0.444999501816175,-0.14067394486072518
21,1.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.36065691773128333,-0.47908676070718687,-0.444999501816175,-0.39200884385145307
22,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-1.0679369764965814,-0.47908676070718687,-0.444999501816175,-0.48811157584400006
23,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.09047799623541078,-0.47908676070718687,-0.444999501816175,0.04299386594019136
24,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-1.5942610427910577,2.4020368369913165,0.7107630931786129,-0.23589120467067404
25,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.6614135270424127,0.481287771858981,5.333813473157765,-0.036514962682837
26,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.5036595393646418
27,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.7671803671854519,2.4020368369913165,1.8665256881734007,4.44135459827793
28,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.4910115939092776
29,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49069065857672023
30,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8117918316979774,-0.47908676070718687,-0.444999501816175,-0.1074049376158602
31,1.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.16566714856319312,0.481287771858981,-0.444999501816175,2.1894093700840225
32,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49350947613617013
33,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2.7667097922203183,-0.47908676070718687,-0.444999501816175,-0.4403424782727469
34,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.09047799623541078,0.481287771858981,-0.444999501816175,0.9453016200799194
35,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9621701363535421,0.481287771858981,-0.444999501816175,0.3619958531207306
36,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.5035783388588141
37,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.6168020625298872,-0.47908676070718687,-0.444999501816175,-0.48770944000561484
38,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.8423695195132342,1.4416623044251486,-0.444999501816175,-0.29534157500886543
39,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1431261288243637,0.481287771858981,-0.444999501816175,-0.4260028556126374
40,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.8117918316979774,0.481287771858981,-0.444999501816175,-0.4601592683854773
41,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.16566714856319312,0.481287771858981,-0.444999501816175,-0.23734121370331285
42,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49069065857672023
43,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-1.9702068044299694,0.481287771858981,1.8665256881734007,0.16052579808976314
44,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.7671803671854519,-0.47908676070718687,-0.444999501816175,-0.4910115939092776
45,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.48770944000561484
46,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.3160454532187578,0.481287771858981,-0.444999501816175,-0.3436752094301593
47,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.3160454532187578,-0.47908676070718687,-0.444999501816175,-0.49350947613617013
48,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.4664237578743225,1.4416623044251486,-0.444999501816175,-0.2242099319037357
49,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.8423695195132342,0.481287771858981,-0.444999501816175,-0.2992082657625689
50,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-1.66945019511884,3.3624113695574844,0.7107630931786129,0.12395270359585853
51,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.6168020625298872,-0.47908676070718687,-0.444999501816175,-0.4925428034477442
52,1.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.4884942026480186,0.481287771858981,-0.444999501816175,0.8400966980531545
53,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.015288843907628425,0.481287771858981,-0.444999501816175,-0.14067394486072518
54,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2.691520639892536,-0.47908676070718687,0.7107630931786129,0.5549282549675207
55,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.9245755601896509,-0.47908676070718687,-0.444999501816175,0.04299386594019136
56,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.6168020625298872,-0.47908676070718687,-0.444999501816175,-0.4403424782727469
57,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.052883420071519596,-0.47908676070718687,-0.444999501816175,-0.5035783388588141
